ID;ACTIVIDAD_ECONOMICA
9;Transporte, almacenamiento y comunicaciones.
16;Hogares privados con servicio domestico.
89;Otra Actividad.
7;Comercio al por mayor y al por menor de vehículos auto-motores, motocicletas, efectos personales y enseres y de alquiler.
17;Organizaciones y Órganos extraterritoriales.
6;Construccin
0;--
10;Intermediación financiera.
2;pesca
8;Hoteles y Restaurantes
11;Actividades inmobiliarias, empresariales y de alquiler.
4;Industrias manufactureras
12;Administración pública y defensa; seguridad social de afiliación obligatoria.
14;Servicios sociales y de salud.
-1;-
5;Suministro de electricidad, gas y agua.
13;Educación
15;Otras actividades de servicios comunitarios, sociales y personales.
1;Agricultura ganaderia 
3;explotacion de minas
