ID_ENCUESTA;ID_VEHICULO;CANTIDAD;FACTOR_EXP_CAL
18696597;13;2;1176.57901662986
18676594;13;3;1245.36735778841
20249429;9;2;20.6654843726611
18479775;12;1;2138.35328945408
19418763;1;1;2668.64433811802
18678196;1;1;1159.47748044076
18678835;1;1;697.667082352721
18943452;1;3;408.126507201981
19592961;2;2;611.398320507542
18508882;11;2;2689.32346658254
19805626;4;1;444.046747066645
18697020;1;1;263.873838962213
19412531;1;1;148.98058943315
19412531;4;1;148.98058943315
19412531;13;2;148.98058943315
18711482;1;1;517.571428571429
18711482;4;1;517.571428571429
18711482;13;1;517.571428571429
18542865;4;1;2694.438138479
19606561;1;1;356.392214909013
18676724;4;1;398.666904201555
18480191;1;1;1045.8480147821
18480191;4;1;1045.8480147821
18480191;11;1;1045.8480147821
19633212;4;1;300.67217630854
19417771;1;1;356.392214909013
18697374;1;1;328.313921107163
18391352;13;1;2530.77976962358
18678837;13;1;1046.50062352908
19415932;1;2;356.392214909013
19430978;1;1;23434.1323085369
18676943;13;1;1395.33416470544
19472156;13;2;16.7907060527871
18694945;13;1;2091.6960295642
19840979;9;1;266.428048239987
18676945;1;1;199.333452100777
18393161;4;1;641.505986836223
18697376;11;1;820.784802767907
18697376;13;2;820.784802767907
19415531;1;1;521.432063016023
20249427;9;1;20.6654843726611
18698806;1;1;712.784429818025
18698806;4;1;712.784429818025
18676591;13;2;1245.36735778841
19080022;1;1;583.037867431402
20250688;9;1;22.3876080703829
19750369;8;1;1757.55992314027
19750369;9;2;1757.55992314027
19175205;4;1;297.961178866299
19175205;13;4;297.961178866299
18698193;11;1;2566.02394734489
18698193;13;1;2566.02394734489
18697021;1;1;263.873838962213
19412840;1;1;356.392214909013
19484613;9;2;130.599442379182
19469181;1;1;91.0200011055424
18480860;1;1;2689.32346658254
18800343;2;1;1283.01197367245
20034039;9;1;13.2294985712608
18569171;5;1;788.873720136519
18697022;4;1;527.747677924425
18676725;4;1;199.333452100777
19515444;1;1;902.01652892562
19516943;1;2;300.67217630854
18678108;13;1;328.313921107163
19175208;1;1;297.961178866299
19175208;13;2;297.961178866299
18550497;4;2;102.833333333333
18550497;13;3;102.833333333333
18395660;13;1;2070.63799332839
19453449;2;1;510.334001001502
18570028;2;1;1898.08482721769
18771544;13;3;930.222776470294
18697024;1;1;923.558436367744
20035601;4;1;134.325648422297
18698321;1;1;1283.01197367245
18394486;7;1;394.436860068259
18394486;13;3;394.436860068259
18677664;3;1;310.074258823431
18475190;13;1;493.466143720171
18475192;13;1;493.466143720171
19080021;1;1;4081.26507201981
19606562;1;1;356.392214909013
20247115;8;1;24.4228451676904
18592742;11;2;1045.8480147821
