ID;DESCRIPCION
-1;-
90;Ninguno.
1;Taxi
2;Bus alimentador
7;Troncal Transmilenio/ Buses Duales
8;Tren
9;Transporte intermunicipal
16;Otro
17;Mototaxi
18;Bicitaxi
20;Auto Informal
21;Transporte Especial informal (sin contrato)
22;Bicicleta
23;Bicicleta con motor
24;Moto como conductor
25;Moto como pasajero
28;Bus privado
29;A pie
3;Publico tradicional (Bus, Buseta, Microbus / Colectivo)
4;SITP - Urbano (Azul)
5;SITP - Complementario (Naranja)
6;SITP -  Especial (Vinotinto)
10;Bicicletas publicas
12;Transporte Especial - Empresarial/ Turismo (Automovil, camioneta, campero)
13;Transporte Especial Empresarial/ Turismo (Bus, buseta y microbus)
15;Camion
19;Taxi  colectivo
26;Vehiculo privado como conductor
27;Vehiculo privado como pasajero
11;Vehiculo escolar
14;Vehiculo de traccion animal (aplica solo para municipios)
