ID_ENCUESTA,CONTACTO,RESULTADO
18826949,2,2
18826949,3,5
18826949,4,3
18826949,5,6
18826949,6,6
18826949,7,3
18826949,8,2
18826949,9,7
18827279,1,1
18827279,2,1
18827279,3,1
18827279,4,4
18827279,5,4
18827279,6,4
18827279,7,1
18827279,8,3
18827279,9,4
18827279,10,7
18827442,1,4
18827442,2,1
18827442,3,2
18827442,4,1
18827442,5,1
18827442,6,4
18827442,7,4
18827442,8,4
18827442,9,5
18827442,10,7
18827498,1,4
18827498,2,4
18827498,3,4
18827498,4,4
18827498,5,7
18828051,1,7
18828316,1,4
18828316,2,4
18828316,3,7
18828404,1,1
18828404,2,4
18828404,3,1
18828404,4,4
18828404,5,3
18828404,6,7
18828469,1,1
18828469,2,6
18828469,3,4
18828469,4,1
18828469,5,6
18828469,6,3
18828469,7,2
18828469,8,2
18828469,9,1
18828469,10,1
18828469,11,1
18828469,12,6
18828469,13,7
18828575,1,7
18828807,1,1
18828807,2,1
18828807,3,7
18829640,1,4
18829640,2,1
18829640,3,4
18829640,4,1
18829640,5,1
18829640,6,4
18829640,7,7
18829657,1,1
18829657,2,1
18829657,3,1
18829657,4,7
18830753,1,1
18830753,2,1
18830753,3,7
18830768,1,1
18830768,2,2
18830768,3,1
18830768,4,4
18830768,5,6
18830768,6,3
18830768,7,1
18830768,8,4
18830768,9,6
18830768,10,4
18830768,11,2
18830768,12,6
18830768,13,5
18830768,14,2
18830768,15,1
18830768,16,6
19569886,1,1
19569886,2,1
19569886,3,7
19569890,1,1
19569890,2,1
19569890,3,1
19569890,4,7
19569891,1,7
18646824,1,7
18646825,1,4
18938327,1,1
18646825,2,4
18938327,2,1
18646825,3,4
18646825,4,7
18938327,3,1
18646826,1,7
18938327,4,2
18938327,5,2
18938327,6,2
18938327,7,2
18646829,1,4
18938327,8,1
18646829,2,4
18938327,9,1
18646829,3,4
18938327,10,1
18646829,4,4
18938327,11,4
18646829,5,7
18646830,1,4
18938327,12,4
18646830,2,7
18938327,13,4
18646831,1,4
18938327,14,7
18646831,2,7
18938901,1,1
18647050,1,7
18647051,1,1
18938901,2,1
18647051,2,1
18938901,3,1
18647051,3,1
18938901,4,1
18647051,4,1
18938901,5,1
18647051,5,7
18938901,6,1
18647052,1,7
18647053,1,7
18938901,7,4
18647054,1,7
18938901,8,4
18647055,1,7
18938901,9,4
18647056,1,7
18938901,10,1
18647119,1,1
18647119,2,4
18938901,11,1
18647119,3,2
18938901,12,4
18647119,4,1
18938901,13,4
18647119,5,1
18938901,14,3
18647119,6,7
18647120,1,1
18938901,15,3
18647120,2,1
18938901,16,7
18647120,3,2
18938921,1,7
18647120,4,4
18939358,1,7
18647120,5,3
18939605,1,1
18647120,6,1
18647120,7,7
18939605,2,7
18647121,1,1
18939643,1,1
18647121,2,3
18939643,2,4
18647121,3,1
18939643,3,5
18647121,4,1
18647121,5,2
18939643,4,7
18647121,6,1
18939810,1,1
18647121,7,3
18939810,2,4
18647121,8,1
18939810,3,7
18647121,9,1
18647121,10,4
18940774,1,7
18647121,11,7
18941793,1,7
18647122,1,1
18941796,1,1
18647122,2,1
18941796,2,7
18647122,3,1
18941873,1,7
18647122,4,2
18647122,5,4
18941900,1,7
18647122,6,3
18942057,1,7
18647122,7,3
18647122,8,1
18942135,1,7
18647122,9,4
18942269,1,7
18647122,10,7
18647123,1,1
18942296,1,7
18647123,2,1
18942362,1,7
18647123,3,1
18647123,4,4
18942442,1,5
18647123,5,4
18942442,2,5
18647123,6,4
18647123,7,7
18942442,3,7
18647124,1,4
18942519,1,7
18647124,2,3
18942600,1,7
18647124,3,2
18942646,1,7
18647124,4,1
18647124,5,1
18942689,1,7
18647124,6,1
18942732,1,7
18647124,7,4
18942778,1,7
18647124,8,4
18647124,9,4
18647124,10,7
18647125,1,1
18943088,1,7
18647125,2,1
18957503,1,1
18647125,3,1
18957503,2,7
18647125,4,2
18647125,5,3
18647125,6,4
18647125,7,4
18967151,1,7
18647125,8,1
18647125,9,4
18647125,10,3
18647125,11,6
18647125,12,7
18647133,1,1
18647133,2,1
18647133,3,1
18590394,2,4
18647133,4,1
18830768,17,6
18647133,5,1
18590394,3,1
18967494,1,1
18830768,18,1
18647133,6,4
18590394,4,7
18967494,2,1
18830768,19,1
18830768,20,7
18831428,1,1
18831428,2,1
18831428,3,1
18831428,4,7
18831853,1,1
18831853,2,5
18831853,3,2
18831853,4,1
18831853,5,1
18831853,6,7
18832035,1,4
18832035,2,4
18832035,3,7
18832188,1,1
18832188,2,4
18832188,3,4
18832188,4,4
18832188,5,7
18832684,1,4
18832684,2,4
18832684,3,7
18833709,1,4
18833709,2,4
18833709,3,7
18834146,1,4
18834146,2,4
18834146,3,7
18834252,1,1
18834252,2,1
18834252,3,1
18834252,4,7
18834292,1,7
18834322,1,1
18834322,2,1
18834322,3,3
18834322,4,5
18834322,5,7
18834323,1,7
18834324,1,1
18834324,2,4
18834324,3,7
18834325,1,1
18834325,2,3
18834325,3,7
18834326,1,7
18834327,1,1
18834327,2,2
18834327,3,3
18834327,4,4
18834327,5,1
18834327,6,1
18834327,7,1
18834327,8,2
18834327,9,4
18834327,10,1
18834327,11,1
18834327,12,1
18834327,13,1
18834327,14,4
18834327,15,4
18834327,16,4
18834327,17,4
18834327,18,7
18834328,1,1
18834328,2,7
18834762,1,4
18834762,2,4
18834762,3,7
18834853,1,7
18835188,1,4
18835188,2,4
18835188,3,4
18835188,4,4
18835188,5,7
18835315,1,7
18835381,1,7
18835540,1,1
18835540,2,4
18835540,3,4
18835540,4,4
18835540,5,7
18835661,1,7
18835849,1,1
18835849,2,1
18835849,3,1
18835849,4,1
18835849,5,7
18835994,1,4
18835994,2,4
18835994,3,4
18835994,4,4
18835994,5,7
18836033,1,1
18836033,2,1
18836033,3,1
18836033,4,7
18836180,1,7
18836307,1,1
18836307,2,1
18836307,3,1
18836307,4,1
18836307,5,1
18836307,6,1
18836307,7,3
18836307,8,3
18836307,9,4
18836307,10,4
18836307,11,7
18836308,1,1
18836308,2,1
18836308,3,3
18836308,4,4
18836308,5,4
18836308,6,7
18836309,1,7
