ID_ENCUESTA,ID_VEHICULO,ID_TIPOVEHICULO,ID_COMBUSTIBLE,MUNICIPIO_MATRICULA,PERTENECE_VEHICULO,PERSONA_DUENOVEHICULO,EXENTO_PICOYPLACA,RAZON_EXENTO,DONDE_GUARDAVEHICULO,VALOR_PARQUEO
18569300,2,4,1,BOGOTA,1,1,1,12,2,25000
18569501,1,1,1,11001,1,2,2,-1,1,-1
18569503,1,4,1,11001,1,4,1,12,1,-1
18569509,1,1,1,11001,1,1,2,-1,1,-1
18569549,1,1,1,PASTO,1,2,2,-1,1,-1
18569550,1,2,4,1101,1,2,2,-1,1,-1
18569550,2,5,1,1101,4,-1,2,-1,1,-1
18569550,3,5,1,1101,4,-1,2,-1,1,-1
18569550,4,5,1,1101,4,-1,2,-1,1,-1
18569550,5,89,1,1101,4,-1,2,-1,1,-1
18569550,6,89,1,1101,4,-1,2,-1,1,-1
18569554,1,1,4,1101,4,-1,2,-1,1,-1
18569557,1,1,1,BOGOTA,1,1,2,-1,2,50000
18569558,1,1,1,BOGOTA,1,1,2,-1,2,55000
18569559,1,1,1,BOGOTA,1,2,2,-1,2,55000
18569560,1,1,1,BOGOTA,1,1,2,-1,2,55000
18569561,1,1,1,BOGOTA,1,1,2,-1,2,55000
18569562,1,1,1,MOSQUERA,1,1,2,-1,2,55000
18569565,1,1,1,NR,1,1,2,-1,1,-1
18569568,1,1,1,11001,1,1,2,-1,1,-1
18569571,1,1,1,11001,1,1,2,-1,1,-1
18569614,1,1,1,11001,1,1,2,-1,1,-1
18569629,1,7,1,BOGOTA,1,1,2,-1,1,-1
18569663,1,1,1,9,1,1,2,-1,4,150000
18569666,1,1,1,11001,1,1,2,-1,1,-1
18569666,2,4,1,11001,1,1,1,12,1,-1
18569667,1,2,1,11001,1,1,2,-1,1,-1
18569702,1,1,1,11001,1,1,2,-1,2,50000
18569725,1,1,1,BOGOTA 11001,1,1,1,12,1,-1
18569756,1,4,1,BOGOTA,1,2,1,12,1,-1
18569761,1,2,1,11001,1,1,1,12,1,-1
18569789,1,4,1,NO SABE,1,2,1,12,1,-1
18569792,1,4,1,NO SABE,1,2,2,-1,1,-1
18569797,1,4,1,BOGOTA,1,1,2,-1,1,-1
18569803,1,1,5,BOGOTA,1,1,2,-1,1,-1
18569803,2,2,5,SOACHA,1,1,2,-1,1,-1
18569926,1,1,1,11001,1,1,2,-1,2,48000
18569927,1,1,1,11001,1,2,2,-1,2,35000
18569927,2,4,1,11001,1,2,1,12,2,25000
18569982,1,1,1,BOGOTA,1,2,2,-1,1,-1
18569986,1,1,5,BOGOTA,1,1,2,-1,2,0
18569997,1,1,1,BOGOTA,1,1,2,-1,2,120000
18570002,1,1,2,BOGOTA,1,1,2,-1,4,60000
18570006,1,4,1,286,1,1,1,12,1,-1
18570017,1,1,1,11001,1,3,2,-1,3,70000
18570019,1,2,1,11001,1,1,2,-1,1,-1
18570019,2,2,2,899,1,2,1,10,1,-1
18570020,1,1,1,11001,1,6,2,-1,2,80000
18570020,2,4,1,11001,1,6,1,12,1,-1
18570023,1,1,1,11001,1,2,2,-1,1,-1
18570025,1,2,5,377,1,1,1,4,2,120000
18570028,1,2,5,11001,1,1,2,-1,1,-1
18570169,1,5,5,BOGOTA,1,1,2,-1,4,100000
18570207,1,1,1,BOGOTA,1,1,2,-1,1,-1
18570315,1,2,1,BOGOTA,1,3,2,-1,1,-1
18570323,1,2,1,BOGOTA,1,1,2,-1,1,-1
18570334,1,4,1,BOGOTA,1,2,2,-1,1,-1
18570444,1,7,1,EL ROSAL,1,1,2,-1,1,-1
18570445,1,4,1,BOGOTA,1,4,1,12,1,-1
18570539,1,1,1,BOGOTA,1,1,2,-1,3,100000
18570541,1,1,1,11001,1,3,2,-1,1,-1
18570541,2,1,5,11001,1,1,1,10,1,-1
18570547,1,4,1,11001,1,3,1,12,1,-1
18570547,2,4,1,11001,1,4,1,12,1,-1
18570702,1,1,1,BOGOTA,1,1,2,-1,1,-1
18570703,1,5,1,BOGOTA,1,1,2,-1,1,-1
18570732,1,1,1,11001,1,3,2,-1,1,-1
18570800,1,4,1,11001,1,1,1,12,1,-1
18570843,1,1,1,BOGOTA,1,1,2,-1,3,0
18570846,1,1,1,ACACIAS,1,1,2,-1,2,21000
18570848,1,4,1,BOGOTA,1,1,1,12,1,-1
18570851,1,4,1,VILLETA,1,1,1,12,1,-1
18570882,1,4,1,11001,1,1,1,12,1,-1
18570883,1,1,1,11001,1,1,2,-1,3,25000
18570919,1,1,1,11001,4,-1,2,-1,4,80000
18570919,2,4,1,11001,4,-1,1,12,1,-1
18571000,1,1,1,BOGOTA. 11001,1,1,2,-1,1,-1
18571000,2,1,1,BOGOTA. 11001,1,3,2,-1,1,-1
18571282,1,5,1,BOGOTA,1,1,2,-1,1,-1
