ZAT;NLOCALIDAD;ID_MUNICIPIO;LATITUD;LONGITUD
455;3;1;4.6038496;-74.07390426
456;3;1;4.602409004;-74.07079417
457;17;1;4.600394314;-74.07572351
458;17;1;4.598812925;-74.07228288
459;17;1;4.595759339;-74.07669558
460;17;1;4.592266635;-74.07766391
461;3;1;4.590280719;-74.07777311
462;3;1;4.587837954;-74.0803514
463;4;1;4.586029241;-74.08548404
464;4;1;4.584504443;-74.08372746
465;4;1;4.583112699;-74.08155589
466;4;1;4.581484007;-74.08766864
467;4;1;4.578809751;-74.08818226
468;4;1;4.576816014;-74.08515602
469;4;1;4.579785062;-74.0838822
470;4;1;4.578579624;-74.08075695
471;4;1;4.579714396;-74.07916298
472;3;1;4.585032502;-74.07644208
473;3;1;4.587755718;-74.07288099
474;17;1;4.591214717;-74.07266571
475;17;1;4.594123858;-74.07074027
476;17;1;4.597058851;-74.06907707
477;17;1;4.600976513;-74.0656551
478;17;1;4.600579504;-74.06189674
479;3;1;4.596964432;-74.06386072
480;17;1;4.595567638;-74.06651877
481;3;1;4.590208735;-74.06598309
482;3;1;4.588841405;-74.07010146
483;3;1;4.587314641;-74.06725289
484;3;1;4.585174776;-74.06588879
485;3;1;4.585409765;-74.06840828
486;3;1;4.583672024;-74.07122566
487;3;1;4.581018628;-74.06897357
488;3;1;4.582906728;-74.07508014
489;3;1;4.581924754;-74.07370748
490;3;1;4.57885445;-74.07291024
491;3;1;4.579578571;-74.07663528
492;4;1;4.575381369;-74.07664464
493;4;1;4.573170934;-74.07167622
494;4;1;4.576025704;-74.08148625
495;4;1;4.573761048;-74.08476063
496;4;1;4.571980915;-74.08740916
497;4;1;4.572520564;-74.08988956
498;4;1;4.575443524;-74.08797928
499;4;1;4.576574672;-74.09127131
500;15;1;4.58047269;-74.09615914
501;15;1;4.585064021;-74.10054689
502;15;1;4.589331119;-74.10424983
503;15;1;4.594564004;-74.10730768
504;15;1;4.592334939;-74.10962382
505;15;1;4.596489587;-74.11074742
506;16;1;4.602171438;-74.11394228
507;16;1;4.601327211;-74.11727283
508;16;1;4.597211223;-74.11631805
509;16;1;4.597437323;-74.12124763
510;16;1;4.600527015;-74.1241284
511;16;1;4.595759227;-74.12750737
512;16;1;4.595957167;-74.13206553
513;16;1;4.599199481;-74.13361357
514;16;1;4.599326607;-74.12937291
515;16;1;4.602897019;-74.12645724
516;16;1;4.605863524;-74.12914613
517;8;1;4.602460802;-74.13687277
518;15;1;4.594327068;-74.11481248
519;8;1;4.610212078;-74.13735135
520;8;1;4.61391178;-74.14444611
521;8;1;4.616475245;-74.14952852
522;8;1;4.620522565;-74.14802806
523;8;1;4.621791759;-74.1528001
524;8;1;4.615243294;-74.15476062
525;8;1;4.619002265;-74.15916493
526;8;1;4.62214615;-74.16121884
527;8;1;4.625830596;-74.16490469
528;8;1;4.633338431;-74.17077779
529;8;1;4.64417172;-74.17663583
530;8;1;4.631630392;-74.17572659
531;8;1;4.62259403;-74.17310661
532;8;1;4.618244952;-74.1714582
533;8;1;4.616659899;-74.16930341
534;8;1;4.615411515;-74.16614017
535;8;1;4.607991129;-74.16672514
536;8;1;4.61110691;-74.15806851
537;8;1;4.609333911;-74.15282462
538;8;1;4.607083068;-74.14491338
539;8;1;4.59781034;-74.14252729
540;8;1;4.598549424;-74.14777753
541;19;1;4.597242051;-74.15445133
542;7;1;4.600965407;-74.15890211
543;7;1;4.60012174;-74.16531387
544;7;1;4.600247413;-74.18277346
545;8;1;4.605402437;-74.17580202
546;8;1;4.611004797;-74.17062952
547;8;1;4.610491639;-74.17568018
548;8;1;4.615574387;-74.17995223
549;8;1;4.619029568;-74.17828711
550;7;1;4.622808855;-74.18560914
551;7;1;4.627877827;-74.18164904
552;7;1;4.628575049;-74.18983651
553;7;1;4.640579168;-74.18847333
554;7;1;4.636927068;-74.19438508
555;7;1;4.648573016;-74.19495038
556;7;1;4.635815557;-74.19753289
557;7;1;4.633794692;-74.20171257
558;7;1;4.633524142;-74.21045688
559;7;1;4.623828995;-74.21805778
560;7;1;4.624526771;-74.19815639
561;7;1;4.61859735;-74.20907111
562;7;1;4.611030605;-74.19664126
563;7;1;4.619628278;-74.19318883
564;7;1;4.615804656;-74.18825675
565;7;1;4.61016106;-74.18231002
566;7;1;4.611812377;-74.19115019
567;7;1;4.606834661;-74.18849122
568;7;1;4.602958982;-74.18778925
569;7;1;4.603448031;-74.20035377
570;7;1;4.609918051;-74.20943674
571;19;1;4.593771121;-74.17470549
572;19;1;4.59222031;-74.15779202
573;6;1;4.591631111;-74.15122633
574;6;1;4.591546137;-74.14357998
575;6;1;4.592082161;-74.13877915
576;6;1;4.586978641;-74.13819961
577;6;1;4.589609228;-74.13204906
578;18;1;4.589307983;-74.12666401
579;15;1;4.5925767;-74.12720297
580;15;1;4.591956017;-74.12054871
581;15;1;4.589932355;-74.11670391
582;15;1;4.590750514;-74.11272503
